id,name,signal,h_codes,euh_codes,p_codes,symbols
001280,Aluminiumoxid,,,,,
001290,"Siliciumdioxid, kolloidal",,,,,
001300,Eisen(III)-oxidhydrat,,,,,
001310,Thionylchlorid,Gefahr,"H302,H331,H314,H335","EUH014,EUH029","P280,P301+P330+P331,P304+P340,P305+P351+P338,P309+P310","GHS06,GHS05"
001320,Natriumhydrogensulfid,Gefahr,"H290,H301,H314,H400","EUH071,EUH031","P273,P280,P303+P361+P353,P305+P351+P338","GHS05,GHS06,GHS09"
001330,Natriumchlorid,,,,,
001340,Phosgen,Gefahr,"H330,H314,H280",EUH071,"P260,P280,P304+P340,P303+P361+P353,P305+P351+P338,P315,P405,P403","GHS06,GHS05,GHS04"
001350,Sulfurylchlorid,Gefahr,"H314,H335",EUH014,"P280,P301+P330+P331,P304+P340,P305+P351+P338,P309+P310","GHS05,GHS07"
001360,"Natriumhydrogensulfit, wässrige Lösung",Achtung,H302,EUH031,"P264,P270,P312,P301,P330,P501",GHS07
001370,Salpetersäure,Gefahr,"H272,H290,H314",EUH071,"P280,P301+P330+P331,P304+P340,P305+P351+P338,P310","GHS03,GHS05"
001380,Natriumnitrit,Gefahr,"H272,H301,H319,H400",,"P220,P273,P301+P310,P305+P351+P338","GHS03,GHS06,GHS09"
001390,Natriumsulfid,Gefahr,"H290,H301,H311,H314,H400","EUH031,EUH071","P280,P301+P330+P331,P303+P361+P353,P305+P351+P338,P310","GHS06,GHS05,GHS09"
001400,Natriumsulfat,,,,,
001410,"Natriumhypochlorit, wässrige Lösung mit Anteilen an aktivem Chlor",Gefahr,"H314,H400",EUH031,"P260,P280,P303+P361+P353,P304+P340+P310,P305+P351+P338","GHS05,GHS09"
001420,Kaliumhydroxid,Gefahr,"H290,H302,H314",,"P280,P301+P330+P331,P305+P351+P338,P308+P310","GHS05,GHS07"
001430,Kohlendisulfid,Gefahr,"H225,H302,H315,H319,H361,H372,H412",,"P201,P210,P273,P280,P308+P313,P337+P313","GHS02,GHS08,GHS07"
001440,Zinksulfat,Gefahr,"H302,H318,H410",,"P273,P280,P305+P351+P338,P313","GHS05,GHS07,GHS09"
001450,Zinkchlorid,Gefahr,"H302,H314,H410",,"P273,P280,P301+P330+P331,P305+P351+P338,P308+P310","GHS05,GHS07,GHS09"
001460,Ammoniumchlorid,Achtung,"H302,H319",,P305+P351+P338,GHS07
001470,Ammoniumsulfat,,,,,
001480,Tetrachlormethan,Gefahr,"H301+H311+H331,H317,H351,H372,H412,H420",,"P261,P273,P280,P301+P310+P330,P403+P233,P502","GHS06,GHS08"
001490,Eisen(II)-chlorid,Gefahr,"H302,H314",,"P280,P305+P351+P338,P310","GHS05,GHS07"
001500,Eisen(III)-chlorid,Gefahr,"H290,H302,H315,H318,H317",,"P280,P302+P352,P305+P351+P338","GHS05,GHS07"
001510,Thiophosphoryltrichlorid,Gefahr,"H302,H330,H314,H335",EUH029,"P280,P260,P309+P310,P304+P341,P301+P330+P331,P303+P361+P353,P305+P351+P338,P402","GHS06,GHS05"
001520,Diphosphorpentasulfid,Gefahr,"H228,H260,H302+H332,H400",EUH029,"P273,P402+P404","GHS02,GHS07,GHS09"
001530,Mangan(II)-oxid,,,,,
001540,Natriumpyrophosphat,Gefahr,"H302,H318",,"P264,P270,P301+P312,P330,P280","GHS07,GHS05"
001550,Titan(III)-chlorid,Gefahr,"H250,H314",EUH014,"P222,P231,P280,P305+P351+P338,P310,P422","GHS02,GHS05"
001560,Dischwefeldichlorid,Gefahr,"H301,H331,H314,H400","EUH014,EUH029","P280,P305+P351+P338,P301+P310,P309+P311,P273","GHS06,GHS05,GHS09"
001570,"Talk, asbestfrei",,,,,
001580,Kaliumsulfat,,,,,
001600,Kupfer(II)-trihydroxidchlorid,Gefahr,"H301,H332,H410",,,"GHS06,GHS09"
001620,Kaliumoxid,Gefahr,H314,,"P101,P102,P280,P303+P361+P353,P305+P351+P338,P405",GHS05
001630,Natriumchlorit,Gefahr,"H271,H301,H310,H314,H373,H410","EUH032,EUH071","P210,P280,P301+P330+P331,P310,P303+P361+P353,P305+P351+P338,P370+P378","GHS03,GHS06,GHS08,GHS05,GHS09"
001640,Chlordioxid,Gefahr,"H270,H330,H314,H400",,,"GHS04,GHS03,GHS06,GHS05,GHS09"
001650,Calciumcarbonat,,,,,
001660,Dinatriumhydrogenphosphat,,,,,
001670,Natriumdihydrogenphosphat,,,,,
001680,Natriumdisulfit,Gefahr,"H302,H318",EUH031,"P280,P305+P351+P338,P313","GHS05,GHS07"
001690,Bariumcarbonat,Achtung,H302,,P262,GHS07
001710,Bariumsulfat,,,,,
001720,Magnesiumhydroxid,,,,,
001750,"Ammoniak, wässrige Lösung",Gefahr,"H290,H314,H335,H400",,"P260,P273,P280,P301+P330+P331,P303+P361+P353,P305+P351+P338","GHS05,GHS07,GHS09"
001760,Kupfer(II)-sulfat,Gefahr,"H302,H315,H318,H410",,,"GHS05,GHS07,GHS09"
001780,Titan(IV)-oxid,,,,,
001790,Zinkpyrophosphat,,H411,,,GHS09
001800,Phosphorsäure,Gefahr,"H314,H290",,"P280,P301+P330+P331,P305+P351+P338,P309+P310",GHS05
001810,Natriumnitrat,Achtung,"H272,H319",,"P220,P305+P351+P338","GHS03,GHS07"
001820,Natriumtetraborat,Gefahr,H360FD,,"P201,P308+P313",GHS08
001830,Dibortrioxid,Gefahr,H360FD,,"P201,P308+P313",GHS08
001840,Cobalt(II)-sulfat,Gefahr,"H302,H317,H334,H341,H350i,H360F,H410",,"P201,P273,P280,P302+P352,P304+P340,P342+P311","GHS08,GHS07,GHS09"
001850,Phosphorpentoxid,Gefahr,H314,,"P260,P280,P301+P330+P331,P305+P351+P338,P308+P310",GHS05
001860,Eisen(III)-oxid,,,,,
001870,Eisendisulfid,,,,,
001880,Blei(II)-bromid,Gefahr,"H302+H332,H360Df,H373,H410",,"P201,P260,P280,P301+P312+P330,P308+P313","GHS08,GHS07,GHS09"
001890,Trinatriumphosphat,Achtung,"H315,H319,H335",,"P261,P305+P351+P338",GHS07
001900,Natriumhexafluoroaluminat,Gefahr,"H302,H332,H372,H411",,"P260,P261,P304+P340,P301+P312,P312,P501","GHS08,GHS07,GHS09"
001910,Calciumchlorid,Achtung,H319,,P305+P351+P338,GHS07
001930,Natriumfluorid,Gefahr,"H301,H315,H319",EUH032,"P302+P352,P305+P351+P338,P308+P310",GHS06
001940,Chrom(III)-hydroxidsulfat,Achtung,H332,,"P271,P260,P312,P304+P340",GHS07
001950,Distickstofftetraoxid,Gefahr,"H280,H270,H330,H314",EUH071,"P260,P280,P244,P220,P304+P340,P315,P305+P351+P338,P315,P303+P361+P353,P315,P370+P376,P403,P405","GHS04,GHS03,GHS06,GHS05"
001960,Bariumchlorid,Gefahr,"H301,H332",,P301+P310,GHS06
001970,Kaliumcyanid,Gefahr,"H290,H300+H310+H330,H410,H370,H372,H410",EUH032,"P260,P264,P273,P280,P284,P301+P310","GHS06,GHS09"
001980,Calciumcarbid,Gefahr,"H260,H315,H318,H335",,"P223,P231+P232,P370+P378,P422,P261,P280","GHS02,GHS05,GHS07"
001990,Kupfer(II)-oxid,Achtung,"H302,H410",,"P260,P273","GHS07,GHS09"
002000,Kieselglas,,,,,
002010,Hydrazin,Gefahr,"H226,H301+H311,H330,H314,H317,H350,H410,H301+H311,H330,H314,H317,H350,H410",,"P201,P260,P273,P280,P304+P340+P310,P305+P351+P338","GHS02,GHS06,GHS08,GHS05,GHS09,GHS06,GHS08,GHS05,GHS09"
002020,Bismut(III)-oxid,,,,,
002030,Molybdän(VI)-oxid,Achtung,"H319,H335,H351",,"P305+P351+P338,P308+P313","GHS08,GHS07"
002060,Kaliumchlorat,Gefahr,"H271,H302,H332,H411",,"P210,P221,P273","GHS03,GHS07,GHS09"
002070,Kaliumcarbonat,Achtung,"H315,H319,H335",,"P302+P352,P305+P351+P338",GHS07
002080,Kaliumhydrogencarbonat,,,,,
002090,Zinkoxid,Achtung,H410,,P273,GHS09
002100,Arsen(III)-oxid,Gefahr,"H350,H300,H314,H410",,"P201,P280,P301+P310,P330,P303+P361+P353,P304+P340,P310,P305+P351+P338,P308+P313","GHS06,GHS08,GHS05,GHS09"
002110,Diammoniumhydrogenphosphat,,,,,
002130,Chrom(III)-oxid,,,,,
002140,Blei(II)-chromat,Gefahr,"H350,H360Df,H373,H410",,"P201,P273,P308+P313,P501","GHS08,GHS09"
002150,Cadmiumsulfid,Gefahr,"H302,H341,H350,H361,H372,H410",,"P201,P273,P301+P312+P330,P308+P313,P501","GHS08,GHS07,GHS09"
002160,Zinkchromat,Gefahr,"H350,H302,H317,H410",,"P261,P280,P281,P363,P405,P501","GHS08,GHS07,GHS09"
002170,Antimon(V)-sulfid,Gefahr,"H228,H302,H332,H411",,"P210,P273","GHS02,GHS07,GHS09"
002190,Eisen(II)-sulfid,,,EUH031,,
002200,Kaliumchlorid,,,,,
002220,Titanylsulfat,Gefahr,H314,,"P280,P303+P361+P353,P305+P351+P338,P310",GHS05
002240,Dihydraziniumsulfat,Gefahr,"H301,H311,H331,H317,H350,H410",,"P201,P261,P273,P280,P301+P310,P311","GHS06,GHS08,GHS09"
002250,Aluminiumnatriumdioxid,Gefahr,"H290,H314",EUH071,"P280,P305+P351+P338,P310",GHS05
002260,Hydraziniumsulfat,Gefahr,"H350,H301+H311+H331,H317,H410",,"P201,P273,P280,P302+P352,P304+P340,P309+P310","GHS06,GHS08,GHS09"
002270,Titan(IV)-chlorid,Gefahr,"H330,H314,H370,H372","EUH014,EUH071","P280,P310,P304+P340,P301+P330+P331,P303+P361+P353,P305+P351+P338","GHS06,GHS08,GHS05"
002280,Kohlenoxidsulfid,Gefahr,"H220,H280,H331",,,"GHS02,GHS04,GHS06"
002290,Natriumhydrogensulfat,Gefahr,H318,,"P280,P305+P351+P338",GHS05
002300,Chrom(VI)-oxid,Gefahr,"H271,H301+H311,H330,H314,H317,H334,H335,H340,H350,H361f,H372,H410",,"P201,P210,P273,P280,P301+P330+P331,P302+P352,P304+P340,P305+P351+P338,P308+P310","GHS03,GHS06,GHS05,GHS08,GHS09"
002310,Ammoniumperoxodisulfat,Gefahr,"H272,H302,H315,H317,H319,H334,H335",,"P220,P261,P280,P305+P351+P338,P342+P311","GHS03,GHS08,GHS07"
002320,Aluminiumsulfat,Gefahr,H318,,"P280,P305+P351+P338",GHS05
002330,Magnesiumsulfat,,,,,
002350,Dinatriummetasilikat,Gefahr,"H290,H314,H335",,"P261,P280,P305+P351+P338,P310","GHS05,GHS07"
002360,Cer(III)-oxid,,,,,
002370,Nitrosylchlorid,Gefahr,"H270,H280,H330,H314",EUH071,,"GHS03,GHS06,GHS05,GHS04"
002380,Titantetrapropanolat,Achtung,"H226,H319",,"P210,P280,P305+P351+P338,P303+P361+P353,P403+P235,P501","GHS02,GHS07"
002390,Titantetrabutanolat,Gefahr,"H226,H315,H318",,"P210,P280,P302+P352,P305+P351+P338,P313","GHS02,GHS05"
002400,Titan(II)-chlorid,Gefahr,"H250,H314",EUH014,"P222,P231,P280,P305+P351+P338,P310,P422","GHS02,GHS05"
002420,Natriumcyanid,Gefahr,"H290,H300+H310+H330,H372,H410",EUH032,"P260,P273,P280,P301+P310,P330,P302+P352,P304+P340,P310","GHS06,GHS08,GHS05,GHS09"
002420,Natriumcyanid,Gefahr,"H290,H300+H310+H330,H372,H410",EUH032,"P260,P273,P280,P301+P310,P330,P302+P352,P304+P340,P310","GHS06,GHS08,GHS05,GHS09"
002430,Wasserstoffperoxid,Gefahr,"H271,H302,H314,H332,H335,H412",,,"GHS03,GHS05,GHS07"
002440,Natriumhydrogencarbonat,,,,,
002450,Natriumtetrahydroxozinkat,,,,,
002460,Chlorschwefelsäure,Gefahr,"H314,H335",EUH014,"P261,P280,P305+P351+P338,P310","GHS05,GHS07"
002470,Kupfer(II)-chlorid,Gefahr,"H302+H312,H315,H318,H410",,"P273,P280,P305+P351+P338","GHS05,GHS07,GHS09"
002480,Natriumthiosulfat,,,,,
002490,Natriumdichromat,Gefahr,"H272,H301,H312,H330,H314,H317,H334,H340,H372,H350,H360FD,H410",,"P201,P273,P280,P301+P330+P331,P302+P352,P304+P340,P305+P351+P338,P308+P310","GHS03,GHS06,GHS05,GHS08,GHS09"
002500,Cadmiumselenid,Gefahr,"H301+H331,H312,H350,H373,H410",,"P201,P261,P273,P301+P310+P330,P308+P313,P403+P233","GHS06,GHS08,GHS09"
002510,Chrom(III)-sulfat,,,,,
002530,Phosphortrichlorid,Gefahr,"H300+H330,H373,H314","EUH014,EUH029","P260,P280,P301+P310,P330,P303+P361+P353,P304+P340,P310,P305+P351+P338,P403+P233","GHS06,GHS08,GHS05"
002550,"Ammoniumsulfid, wässrige Lösung",Gefahr,"H226,H314,H400",EUH031,"P273,P280,P305+P351+P338,P310","GHS02,GHS05,GHS09"
002560,Natriumformiat,,,,,
002570,Palladium(II)-chlorid,Gefahr,"H290,H302,H317,H318,H410",,,"GHS05,GHS07,GHS09"
002590,Cobalt(II)-chlorid,Gefahr,"H350i,H360F,H302,H317,H334,H341,H410",,"P201,P273,P280,P302+P352,P304+P340,P342+P311","GHS08,GHS07,GHS09"
002600,Platin(IV)-chlorid,Gefahr,"H301,H314,H317,H334",,"P260,P264,P280,P301+P330+P331,P305+P351+P338,P310","GHS06,GHS05,GHS08"
002610,Magnesiumcarbonat,,,,,
002630,Zeolith,,,,,
002640,Nitrosylschwefelsäure,Gefahr,"H272,H314","EUH029,EUH014","P301+P330+P331,P280,P305+P351+P338,P310,P304+P340,P402+P404","GHS03,GHS05"
002650,Methyltrichlorsilan,Gefahr,"H225,H315,H319,H335",EUH014,"P302+P352,P304+P340,P305+P351+P338,P403+P235","GHS02,GHS07"
002670,Trimethylchlorsilan,Gefahr,"H225,H312,H314,H331,H335",EUH014,"P210,P261,P280,P305+P351+P338,P310","GHS02,GHS06,GHS05"
002680,Chlortriphenylsilan,Gefahr,H314,,"P280,P301+P330+P331,P305+P351+P338,P310",GHS05
002690,Methyltriethoxysilan,Achtung,H226,,"P210,P243,P280,P303+P361+P353,P403+P235",GHS02
002700,Dimethyldiethoxysilan,Gefahr,"H225,H315,H319,H332",,"P210,P305+P351+P338","GHS02,GHS07"
002720,Siliciumtetrachlorid,Gefahr,"H301+H331,H314,H335",EUH014,"P261,P280,P301+P310,P305+P351+P338,P310","GHS06,GHS05"
002730,Dichlordiphenylsilan,Gefahr,"H310,H314",,"P280,P302+P350,P305+P351+P338,P310","GHS06,GHS05"
002740,Diphenylsilandiol,Gefahr,H228,,P210,GHS02
002750,Octamethylcyclotetrasiloxan,Achtung,"H226,H361f,H413",,"P210,P273,P308+P313","GHS02,GHS08"
002770,Dimethyldichlorsilan,Gefahr,"H225,H302,H331,H314","EUH014,EUH071","P210,P261,P280,P305+P351+P338,P310","GHS02,GHS06,GHS05"
002780,Phenyltrichlorsilan,Gefahr,"H312,H314","EUH014,EUH071","P271,P280,P301+P330+P331,P303+P361+P353,P304+P340,P305+P351+P338,P310,P403+P233","GHS05,GHS07"
002820,Mangan(II)-sulfat,Achtung,"H373,H411",,P273,"GHS08,GHS09"
002850,Dimethyl(brommethyl)chlorsilan,Gefahr,"H226,H314",,"P280,P305+P351+P338,P310","GHS02,GHS05"
002900,Natriumbromid,,,,,
002910,Tetraethylorthosilikat,Achtung,"H226,H332,H319,H335",,"P210,P261,P280,P304+P340,P312,P337+P313,P403+P235","GHS02,GHS07"
002920,"1,1,1,3,3,3-Hexamethyldisilazan",Gefahr,"H225,H302,H311+H331,H314",,"P210,P280,P301+P330+P331,P302+P352,P304+P340,P305+P351+P338,P309+P310,P403+P235","GHS02,GHS06,GHS05"
002940,Phosphoryltrichlorid,Gefahr,"H300+H330,H314,H372","EUH014,EUH029",,"GHS05,GHS06,GHS08"
003000,Phosphorpentachlorid,Gefahr,"H302,H330,H314,H373","EUH014,EUH029","P280,P301+P330+P331,P304+P340,P305+P351+P338,P309+P310","GHS06,GHS08,GHS05"
003010,Aluminiumchlorid,Gefahr,H314,EUH014,,GHS05
003020,Bis(hydroxylammonium)sulfat,Achtung,"H290,H351,H302,H312,H373,H319,H315,H317,H400",,"P281,P273,P302+P352,P305+P351+P338,P308+P313","GHS05,GHS08,GHS07,GHS09"
003030,Kupfer(II)-acetat,Gefahr,"H302,H314,H400,H410",,"P260,P273,P280,P303+P361+P353,P310","GHS05,GHS07,GHS09"
003040,Chrom(III)-chlorid,Achtung,H302,,P262,GHS07
003050,Hydrazinmonohydrat,Gefahr,"H301+H311,H330,H314,H410,H317,H350",,"P201,P260,P273,P280,P304+P340+P310,P305+P351+P338,P405,P501","GHS06,GHS08,GHS05,GHS09"
003060,Hydraziniumchlorid,Gefahr,"H301,H311,H331,H317,H350,H410",,"P201,P261,P273,P280,P301+P310,P311","GHS06,GHS08,GHS09"
003070,Hydraziniumdichlorid,Gefahr,"H301+H311+H331,H317,H350,H410",,"P201,P261,P273,P280,P301+P310,P311","GHS06,GHS08,GHS09"
003080,Hydraziniumbromid,Gefahr,"H301+H311+H331,H317,H350,H410",,"P201,P273,P280,P308+P313,P304+P340,P302+P352,P309+P310","GHS06,GHS08,GHS09"
003110,Tetramethylsilan,Gefahr,H224,,P210,GHS02
003120,Dimethylchlorsilan,Gefahr,"H224,H261,H331,H314","EUH014,EUH071","P210,P231+P232,P280,P303+P361+P353,P305+P351+P338,P370+P378","GHS02,GHS06,GHS05"
003150,Methyldichlorsilan,Gefahr,"H225,H261,H301+H331,H314","EUH014,EUH071","P210,P231+P232,P261,P280,P301+P310,P422","GHS02,GHS06,GHS05"
003160,Kaliumdisulfit,Gefahr,"H318,H335",EUH031,"P280,P305+P351+P338,P313","GHS05,GHS07"
003170,"Eisen(II,III)-oxid",,,,,
003180,Sulfamidsäure,Achtung,"H315,H319,H412",,P305+P351+P338,GHS07
003190,Hexamethylcyclotrisiloxan,Gefahr,H228,,P210,GHS02
003200,Decamethylcyclopentasiloxan,,,,,
003210,Hexamethyldisiloxan,Gefahr,"H225,H410",,"P210,P233,P240,P273,P403+P235","GHS02,GHS09"
003220,Blei(IV)-oxid,Gefahr,"H272,H360Df,H302+H332,H373,H410",,"P201,P210,P261,P273,P280,P308+P313","GHS03,GHS08,GHS07,GHS09"
003230,Blei(II)-oxid,Gefahr,"H360Df,H302+H332,H351,H372,H410",,"P281,P264,P304+P340,P312,P201,P260","GHS08,GHS07,GHS09"
003240,Mangan(IV)-oxid,Gefahr,"H302+H332,H373",,P314,"GHS08,GHS07"
003250,Blei(II)-sulfat,Gefahr,"H360Df,H332,H302,H373,H410",,"P201,P261,P273,P304+P340,P312,P308+P313,P501","GHS08,GHS07,GHS09"
003260,Kupfer(II)-oxalat,Achtung,"H312,H302",,,GHS07
003270,Quecksilber(II)-chlorid,Gefahr,"H341,H361f,H300,H310,H372,H314,H410",,"P201,P280,P301+P310,P330,P303+P361+P353,P304+P340,P310,P305+P351+P338","GHS06,GHS05,GHS08,GHS09"
003280,Kupfer(I)-chlorid,Gefahr,"H302,H315,H318,H410",,"P273,P280,P305+P351+P338,P501","GHS05,GHS07,GHS09"
003290,Zirkonylchlorid,Gefahr,H314,,"P280,P301+P330+P331,P305+P351+P338,P309+P310",GHS05
003300,Nickel(II)-chlorid,Gefahr,"H350i,H360D,H341,H301+H331,H372,H315,H317,H334,H410",,"P273,P281,P302+P352,P304+P340,P309+P310","GHS06,GHS08,GHS09"
003310,Cadmiumchlorid,Gefahr,"H350,H340,H360FD,H330,H301,H372,H410",,"P201,P260,P301+P310,P330,P304+P340,P310,P308+P313,P403+P233","GHS06,GHS08,GHS09"
003320,Kupfer(II)-sulfid,,,,,
003330,Zinksulfid,,,EUH031,,
003340,Cadmiumsulfat,Gefahr,"H301,H330,H340,H350,H360FD,H372,H410",,"P201,P273,P309+P310,P304+P340","GHS06,GHS08,GHS09"
003350,Cadmiumcarbonat,Gefahr,"H302+H312,H330,H341,H350,H361fd,H372,H410",,"P201,P260,P273,P304+P340+P310,P308+P313,P403+P233","GHS06,GHS08,GHS09"
003370,Cadmiumsulfoselenid,,,,,
003380,Phosphonsäure,Gefahr,"H290,H302,H314",,"P280,P305+P351+P338,P310","GHS05,GHS07"
003390,Ammoniumthiocyanat,Gefahr,"H302+H312+H332,H318,H412",EUH032,,"GHS07,GHS05"
003400,Natriumthiocyanat,Achtung,"H302+H312+H332,H319,H412",EUH032,"P273,P280,P305+P351+P338",GHS07
003410,Calciumcyanamid,Gefahr,"H261,H302,H317,H318,H335",,"P231+P232,P261,P280,P305+P351+P338,P422","GHS02,GHS05,GHS07"
003440,Antimon(III)-oxid,Achtung,H351,,P281,GHS08
003450,Magnesiumchlorid,,,,,
003470,Natriumpolysulfide,Gefahr,"H301,H314,H400,H290",EUH031,,"GHS05,GHS06,GHS09"
003480,Natriumdithionit,Gefahr,"H251,H302",EUH031,P235+P410,"GHS02,GHS07"
003490,Natriumcyanat,Achtung,"H302,H412",,P273,GHS07
003500,Kupfer(II)-hydroxid,Gefahr,"H302,H330,H318,H410",,"P260,P273,P280,P284,P305+P351+P338,P310","GHS06,GHS05,GHS09"
003510,Trinatriumarsenat,Gefahr,"H350,H331,H301,H410",,,"GHS06,GHS08,GHS09"
003530,Phosphorwasserstoff,Gefahr,"H220,H280,H330,H314,H400",,"P210,P260,P273,P280,P303+P361+P353,P304+P340,P305+P351+P338,P315,P377,P381,P403,P405","GHS02,GHS04,GHS06,GHS05,GHS09"
003540,Ammoniumhydrogensulfit,Achtung,H319,EUH031,"P264,P271,P280,P305+P351+P338,P312",GHS07
003550,Zinn(II)-chlorid,Gefahr,"H302,H314,H317",,"P280,P301+P330+P331,P302+P352,P305+P351+P338,P309+P310","GHS05,GHS07"
003560,Siliciumtetrafluorid,Gefahr,"H330,H314,H280",EUH071,"P260,P280,P304+P340,P303+P361+P353,P305+P351+P338,P315,P405,P403","GHS06,GHS05,GHS04"
003570,Aluminiumnatriumsilikat,,,,,
003580,Bleiweiß,Gefahr,"H360Df,H332,H302,H373,H410",,"P201,P273,P308+P313,P501","GHS08,GHS07,GHS09"
003590,Zinn(IV)-chlorid,Gefahr,"H314,H335,H412",,"P260,P280,P303+P361+P353,P304+P340+P310,P305+P351+P338","GHS05,GHS07"
003600,Cobalt(II)-oxid,Gefahr,"H301,H330,H317,H334,H410",,,"GHS06,GHS08,GHS09"
003620,Calciumfluorid,,,,,
003630,Kaliumnitrat,Achtung,H272,,"P210,P221",GHS03
003640,Borsäure,Gefahr,H360FD,,"P201,P308+P313",GHS08
003650,Ammoniumthiosulfat,,,,,
003660,Kaliumbromid,Achtung,H319,,P305+P351+P338,GHS07
003670,Kaliumsulfit,,,,,
003690,Chromalaun,Achtung,"H315,H319",,"P302+P352,P305+P351+P338",GHS07
003700,Natriummetaphosphat,,,,,
003710,Lithiumchlorid,Achtung,"H302,H315,H319",,"P302+P352,P305+P351+P338",GHS07
003720,Silbernitrat,Gefahr,"H272,H290,H314,H410",,"P210,P220,P260,P280,P305+P351+P338,P370+P378,P308+P310","GHS03,GHS05,GHS09"
003730,Silberbromid,Achtung,H410,,"P273,P391,P501",GHS09
003740,Silberchlorid,Achtung,"H290,H410",,"P273,P390,P501","GHS05,GHS09"
003750,Ammoniumnitrat,Achtung,"H272,H319",,"P210,P220,P280,P305+P351+P338,P370+P378","GHS03,GHS07"
003760,Calciumhydrogenphosphat,,,,,
003780,Ammoniummolybdat,Achtung,"H302,H315,H319,H335",,"P261,P280,P305+P351+P338,P304+P340,P405,P501",GHS07
003790,Hexafluorokieselsäure,Gefahr,"H302,H311,H314",,"P280,P301+P312,P330,P303+P361+P353,P304+P340,P310,P305+P351+P338","GHS06,GHS05"
003800,Aluminiumhydroxid,,,,,
003810,Aluminiumfluorid,,,,,
003830,Magnesiumhexafluorosilikat,Gefahr,"H301,H318,H412",,,"GHS06,GHS05"
003840,Chrom(III)-fluorid,Gefahr,"H302,H312,H314,H332",EUH031,"P260,P303+P361+P353,P305+P351+P338,P301+P330+P331,P405,P501","GHS05,GHS07"
